BarcodeID,HYCO,HYOC,HYOS,HCOC,HYCA,HYQU,MeanTemp,RangeTemp,SEGCODE,DamDistKM,Jul,lat,MeanQ,MeanQ_m3s,HI_gradient,SC_gradient,Stage_cm
L01816,0,0,0,0,0,0,10.09159,3.04339,C3,12.8,113,36.87854767,11749.21063,332.700595,0.15861787,1.2922058,39.38643278
L01817,0,0,0,0,0,0,13.57449,7.98491,C4,386.46,58,35.76377487,12845.99731,363.7581351,0.08921449,1.40451013,42.80946876
L01822,0,0,0,0,0,0,13.57449,7.98491,C4,386.46,61,35.76377487,12845.99731,363.7581351,0.08921449,1.40451013,42.80946876
L01824,0,0,1,0,0,0,13.57449,7.98491,C4,386.46,62,35.76377487,12845.99731,363.7581351,0.08921449,1.40451013,42.80946876
L01825,0,0,0,0,0,0,13.57449,7.98491,C4,386.46,63,35.76377487,12845.99731,363.7581351,0.08921449,1.40451013,42.80946876
L01826,0,0,0,0,0,0,12.32537,5.9705,C4,237.6,78,36.33769226,12310.9566,348.6074694,0.09113978,1.79740256,54.78483003
L01827,0,0,0,0,0,0,11.73596,5.13603,C4,172.86,74,36.10590744,12310.9566,348.6074694,0.11173168,1.96765595,59.97415336
L01828,0,0,0,0,0,0,11.47414,4.76348,C4,144.85,71,36.0658493,11749.21063,332.700595,0.12060204,1.87628962,57.18930762
L01829,0,0,0,0,0,0,11.12489,4.26478,C3,111.02,70,36.30402374,11749.21063,332.700595,0.13137319,1.7107992,52.14515962
L01830,0,0,0,0,0,0,10.97853,4.05522,C3,96.74,69,36.39172363,11749.21063,332.700595,0.13580837,1.64265609,50.06815762
L01831,0,0,0,0,0,0,10.78017,3.77066,C3,76.56,68,36.50193787,11749.21063,332.700595,0.14214434,1.54530879,47.10101192
L01832,0,0,0,0,0,0,10.42401,3.25824,C3,43.65,67,36.74193192,11749.21063,332.700595,0.15259869,1.38468574,42.20522136
L01838,0,0,0,0,0,0,13.10446,7.12211,C4,327.46,172,36.1436348,12845.99731,363.7581351,0.08921449,1.40451013,42.80946876
L01839,0,0,0,0,0,0,13.52497,7.88292,C4,380.11,88,35.81167221,12845.99731,363.7581351,0.08921449,1.40451013,42.80946876
L01840,0,0,0,0,0,0,11.31687,4.53915,C4,129.74,164,36.15779495,11749.21063,332.700595,0.12535402,1.80327914,54.96394819
L01841,0,0,0,0,0,0,13.3365,7.51613,C4,356.82,87,35.99227142,12845.99731,363.7581351,0.08921449,1.40451013,42.80946876
L01842,0,0,0,0,0,0,11.42722,4.69659,C4,140.14,78,36.08742142,11749.21063,332.700595,0.12218604,1.85195279,56.44752104
L01843,0,0,0,0,0,0,11.12489,4.26478,C3,110.98,76,36.30402374,11749.21063,332.700595,0.13137319,1.7107992,52.14515962
L01848,0,0,0,0,0,0,12.83891,6.69252,C4,295.36,3,36.25360107,12310.9566,348.6074694,0.07308226,1.64810344,50.23419285
L01850,0,0,0,0,0,0,13.09138,7.09986,C4,327.12,7,36.15345764,12845.99731,363.7581351,0.08921449,1.40451013,42.80946876
L01853,0,0,0,0,0,0,13.09138,7.09986,C4,327.12,5,36.15345764,12845.99731,363.7581351,0.08921449,1.40451013,42.80946876
L01885,0,0,0,0,0,0,10.19763,2.98929,C3,22.24,49,36.84298706,11749.21063,332.700595,0.15861787,1.2922058,39.38643278
L01979,0,0,0,0,0,0,12.78481,6.61668,C4,289.87,82,36.2824707,12310.9566,348.6074694,0.07466626,1.66119985,50.63337143
L01982,0,0,0,0,0,0,13.61144,8.06104,C4,392,210,35.75075531,12845.99731,363.7581351,0.08921449,1.40451013,42.80946876
L01983,0,0,0,0,0,0,14.00664,8.87782,C4,470.4,211,36.13098145,12845.99731,363.7581351,0.08921449,1.40451013,42.80946876
L01984,0,0,0,0,0,0,10.44124,3.28306,C3,44.64,239,36.73120499,11749.21063,332.700595,0.1522819,1.3895531,42.35357849
L01987,0,0,0,0,0,0,13.57449,7.98491,C4,386.46,64,35.76377487,12845.99731,363.7581351,0.08921449,1.40451013,42.80946876
L02068,0,0,0,0,0,0,10.16239,3.00727,C3,19.2,113,36.84902191,11749.21063,332.700595,0.15861787,1.2922058,39.38643278
L02069,0,0,2,0,0,0,12.41067,6.09075,C4,245.9,83,36.39294052,12310.9566,348.6074694,0.08860539,1.7764483,54.14614418
L02070,0,0,0,0,0,0,11.81165,5.24353,C4,180.05,80,36.11914444,12310.9566,348.6074694,0.1095141,1.94932097,59.41530317
L02084,0,0,0,0,0,0,10.83011,3.84236,C3,81.63,75,36.47343063,11749.21063,332.700595,0.14056035,1.56964561,47.84279819
L02085,0,0,0,0,0,0,12.56499,6.308,C4,263.71,127,36.34342194,12310.9566,348.6074694,0.08290302,1.72930121,52.70910088
L02163,0,0,0,0,0,0,12.56499,6.308,C4,263.84,208,36.34342194,12310.9566,348.6074694,0.08290302,1.72930121,52.70910088
L02208,0,0,0,0,0,0,12.41067,6.09075,C4,246.05,204,36.39294052,12310.9566,348.6074694,0.08860539,1.7764483,54.14614418
L02223,0,0,0,0,0,0,13.85336,8.56051,C4,423.73,11,35.86178589,12845.99731,363.7581351,0.08921449,1.40451013,42.80946876
L02224,0,0,0,0,0,0,13.27631,24.30089,T4,489.28,89,37.22371,1206.837303,34.17382677,0.06380554,0.31848568,9.707443526
L02289,0,0,0,0,0,0,13.85336,8.56051,C4,423.52,157,35.86178589,12845.99731,363.7581351,0.08921449,1.40451013,42.80946876
