BarcodeID,HYCO,HYOC,HYOS,HCOC,HYCA,HYQU,Reach,GageSeg,SEGCODE,RiverMile,DamDistKM,Jul,lat,MeanTemp,RangeTemp,MeanQ,MeanQ_m3s,Stage_cm
L01816,0,0,0,0,0,0,CRGrandCanyon,LEES,C3,-8,12,113,36.87854767,10.09159,3.04339,11750.94055,332.7495809,73.75771284
L01817,0,0,0,0,0,0,CRGrandCanyon,DIAMOND,C4,225.54,388,58,35.76377487,13.57449,7.98491,12845.99731,363.7581351,39.08251704
L01822,0,0,0,0,0,0,CRGrandCanyon,DIAMOND,C4,225.54,388,61,35.76377487,13.57449,7.98491,12845.99731,363.7581351,39.08251704
L01824,0,0,1,0,0,0,CRGrandCanyon,DIAMOND,C4,225.54,388,62,35.76377487,13.57449,7.98491,12845.99731,363.7581351,39.08251704
L01825,0,0,0,0,0,0,CRGrandCanyon,DIAMOND,C4,225.54,388,63,35.76377487,13.57449,7.98491,12845.99731,363.7581351,39.08251704
L01826,0,0,0,0,0,0,CRGrandCanyon,PHANTOM,C4,132.5,238,78,36.33769226,12.32537,5.9705,12310.9566,348.6074694,57.05302122
L01827,0,0,0,0,0,0,CRGrandCanyon,PHANTOM,C4,92.04,173,74,36.10590744,11.73596,5.13603,12310.9566,348.6074694,56.00348821
L01828,0,0,0,0,0,0,CRGrandCanyon,PHANTOM,C4,74.53,145,71,36.0658493,11.47414,4.76348,12310.9566,348.6074694,71.94402772
L01829,0,0,0,0,0,0,CRGrandCanyon,LEES,C3,53.39,111,70,36.30402374,11.12489,4.26478,11750.94055,332.7495809,62.3352536
L01830,0,0,0,0,0,0,CRGrandCanyon,LEES,C3,44.46,97,69,36.39172363,10.97853,4.05522,11750.94055,332.7495809,71.26025471
L01831,0,0,0,0,0,0,CRGrandCanyon,LEES,C3,31.85,77,68,36.50193787,10.78017,3.77066,11750.94055,332.7495809,60.20597452
L01832,0,0,0,0,0,0,CRGrandCanyon,LEES,C3,11.28,43,67,36.74193192,10.42401,3.25824,11750.94055,332.7495809,89.46720828
L01838,0,0,0,0,0,0,CRGrandCanyon,DIAMOND,C4,188.66,329,172,36.1436348,13.10446,7.12211,12845.99731,363.7581351,77.23895593
L01839,0,0,0,0,0,0,CRGrandCanyon,DIAMOND,C4,221.57,382,88,35.81167221,13.52497,7.88292,12845.99731,363.7581351,48.7308134
L01840,0,0,0,0,0,0,CRGrandCanyon,PHANTOM,C4,65.09,130,164,36.15779495,11.31687,4.53915,12310.9566,348.6074694,45.75446726
L01841,0,0,0,0,0,0,CRGrandCanyon,DIAMOND,C4,207.01,358,87,35.99227142,13.3365,7.51613,12845.99731,363.7581351,64.82929169
L01842,0,0,0,0,0,0,CRGrandCanyon,PHANTOM,C4,71.59,140,78,36.08742142,11.42722,4.69659,12310.9566,348.6074694,51.73293491
L01843,0,0,0,0,0,0,CRGrandCanyon,LEES,C3,53.36,111,76,36.30402374,11.12489,4.26478,11750.94055,332.7495809,62.3352536
L01848,0,0,0,0,0,0,CRGrandCanyon,DIAMOND,C4,168.6,297,3,36.25360107,12.83891,6.69252,12845.99731,363.7581351,84.9072201
L01850,0,0,0,0,0,0,CRGrandCanyon,DIAMOND,C4,188.45,329,7,36.15345764,13.09138,7.09986,12845.99731,363.7581351,77.23895593
L01853,0,0,0,0,0,0,CRGrandCanyon,DIAMOND,C4,188.45,329,5,36.15345764,13.09138,7.09986,12845.99731,363.7581351,77.23895593
L01885,0,0,0,0,0,0,CRGrandCanyon,LEES,C3,-2.1,22,49,36.84298706,10.19763,2.98929,11750.94055,332.7495809,40.50213097
L01979,0,0,0,0,0,0,CRGrandCanyon,DIAMOND,C4,165.17,291,82,36.2824707,12.78481,6.61668,12845.99731,363.7581351,73.31454332
L01982,0,0,0,0,0,0,CRGrandCanyon,DIAMOND,C4,229,394,210,35.75075531,13.61144,8.06104,12845.99731,363.7581351,39.08251704
L01983,0,0,0,0,0,0,CRGrandCanyon,DIAMOND,C4,278,473,211,36.13098145,14.00664,8.87782,12845.99731,363.7581351,39.08251704
L01984,0,0,0,0,0,0,CRGrandCanyon,LEES,C3,11.9,44,239,36.73120499,10.44124,3.28306,11750.94055,332.7495809,113.8817884
L01987,0,0,0,0,0,0,CRGrandCanyon,DIAMOND,C4,225.54,388,64,35.76377487,13.57449,7.98491,12845.99731,363.7581351,39.08251704
L02068,0,0,0,0,0,0,CRGrandCanyon,LEES,C3,-4,19,113,36.84902191,10.16239,3.00727,11750.94055,332.7495809,58.20820821
L02069,0,0,2,0,0,0,CRGrandCanyon,PHANTOM,C4,137.69,247,83,36.39294052,12.41067,6.09075,12310.9566,348.6074694,80.60398463
L02070,0,0,0,0,0,0,CRGrandCanyon,PHANTOM,C4,96.53,181,80,36.11914444,11.81165,5.24353,12310.9566,348.6074694,64.30379113
L02084,0,0,0,0,0,0,CRGrandCanyon,LEES,C3,35.02,82,75,36.47343063,10.83011,3.84236,11750.94055,332.7495809,86.68602089
L02085,0,0,0,0,0,0,CRGrandCanyon,PHANTOM,C4,148.82,265,127,36.34342194,12.56499,6.308,12310.9566,348.6074694,64.58528486
L02163,0,0,0,0,0,0,CRGrandCanyon,PHANTOM,C4,148.9,265,208,36.34342194,12.56499,6.308,12310.9566,348.6074694,64.58528486
L02208,0,0,0,0,0,0,CRGrandCanyon,PHANTOM,C4,137.78,247,204,36.39294052,12.41067,6.09075,12310.9566,348.6074694,80.60398463
L02223,0,0,0,0,0,0,CRGrandCanyon,DIAMOND,C4,248.83,426,11,35.86178589,13.85336,8.56051,12845.99731,363.7581351,39.08251704
L02289,0,0,0,0,0,0,CRGrandCanyon,DIAMOND,C4,248.7,426,157,35.86178589,13.85336,8.56051,12845.99731,363.7581351,39.08251704
L02529,0,0,0,0,0,0,CRGrandCanyon,PHANTOM,C4,87.71,166,317,36.09771347,11.67497,5.04936,12310.9566,348.6074694,63.77708939
L02530,0,0,0,0,0,0,CRGrandCanyon,LEES,C3,-12,6,314,36.90106583,10.02034,3.07975,11750.94055,332.7495809,63.79338877
L02822,0,0,0,0,0,0,CRGrandCanyon,PHANTOM,C4,92.04,173,123,36.10590744,11.73596,5.13603,12310.9566,348.6074694,56.00348821
L02836,0,0,0,0,0,0,CRGrandCanyon,LEES,C3,-12,6,49,36.90106583,10.02034,3.07975,11750.94055,332.7495809,63.79338877
L02837,0,0,0,0,0,0,CRGrandCanyon,LEES,C3,-4,19,49,36.84902191,10.16239,3.00727,11750.94055,332.7495809,58.20820821
L02838,0,0,0,0,0,0,CRGrandCanyon,LEES,C3,-2.1,22,113,36.84298706,10.19763,2.98929,11750.94055,332.7495809,40.50213097
L02839,0,0,0,0,0,0,CRGrandCanyon,LEES,C3,-8,12,49,36.87854767,10.09159,3.04339,11750.94055,332.7495809,73.75771284
L02921,0,0,0,0,0,0,CRGrandCanyon,LEES,C3,59.2,121,64,36.22592163,11.22133,4.40267,11750.94055,332.7495809,74.90636007
