Gage,MeanQ,SDQ,HI,StageChange,DamDistKM
FONT,1370.751651,30.98524448,0.0208309,0.090777249,1.6
FGD,1762.010836,333.8419276,0.193308786,0.966940339,0.7
LODORE,1704.339961,124.0262512,0.073664728,0.396694915,74.4
JENSEN,3798.653002,165.2880568,0.053352771,0.330131658,150
OURAY,3852.389882,99.26977925,0.026716487,0.213186215,259
GREEN,4376.478463,100.7302663,0.023986339,0.157127952,384
MINERAL,5128.696601,102.9490639,0.018105007,0.250396518,571
CISCO,5624.781339,136.0354811,0.024427435,0.218635113,101
POTASH,6331.854506,118.8766885,0.016914833,0.237224335,174
CATARACT,11035.61462,158.0825381,0.013130512,0.185157828,656
LEES,11750.94055,1883.747376,0.158617867,1.292205802,25
PHANTOM,12310.9566,1420.769771,0.113632476,1.983371648,167
DIAMOND,12845.99731,1175.968157,0.089214493,1.404510126,388
YAMPA,2183.960785,83.46998085,0.040375526,0.200767956,325
GUNN,803.3918528,20.23576212,0.018139827,0.098870523,2
DOLORES,353.9128348,25.3564599,0.062783772,0.199336333,15
JUAN,1205.46113,97.44801787,0.06380554,0.318485683,525
